State_DHS,District_DHS,State_shp,District_shp
ANDAMAN & NICOBAR ISLANDS,NICOBARS,ANDAMAN & NICOBAR ISLAND,NICOBAR
ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLAND,NORTH & MIDDLE ANDAMAN
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN & NICOBAR ISLAND,SOUTH ANDAMAN
ARUNACHAL PRADESH,ANJAW,ARUNANCHAL PRADESH,ANJAW
ARUNACHAL PRADESH,CHANGLANG,ARUNANCHAL PRADESH,CHANGLANG
ARUNACHAL PRADESH,DIBANG VALLEY,ARUNANCHAL PRADESH,DIBANG VALLEY
ARUNACHAL PRADESH,EAST KAMENG,ARUNANCHAL PRADESH,EAST KAMENG
ARUNACHAL PRADESH,EAST SIANG,ARUNANCHAL PRADESH,EAST SIANG
ARUNACHAL PRADESH,KURUNG KUMEY,ARUNANCHAL PRADESH,KURUNG KUMEY
ARUNACHAL PRADESH,LOHIT,ARUNANCHAL PRADESH,LOHIT
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,ARUNANCHAL PRADESH,LOWER DIBANG VALLEY
ARUNACHAL PRADESH,LOWER SUBANSIRI,ARUNANCHAL PRADESH,LOWER SUBANSIRI
ARUNACHAL PRADESH,PAPUMPARE,ARUNANCHAL PRADESH,PAPUM PARE
ARUNACHAL PRADESH,TAWANG,ARUNANCHAL PRADESH,TAWANG
ARUNACHAL PRADESH,TIRAP,ARUNANCHAL PRADESH,TIRAP
ARUNACHAL PRADESH,UPPER SIANG,ARUNANCHAL PRADESH,UPPER SIANG
ARUNACHAL PRADESH,UPPER SUBANSIRI,ARUNANCHAL PRADESH,UPPER SUBANSIRI
ARUNACHAL PRADESH,WEST KAMENG,ARUNANCHAL PRADESH,WEST KAMENG
ARUNACHAL PRADESH,WEST SIANG,ARUNANCHAL PRADESH,WEST SIANG
ASSAM,MORIGAON,ASSAM,MARIGAON
BIHAR,SARAN,BIHAR,SARAN (CHHAPRA)
CHHATTISGARH,JANJGIR - CHAMPA,CHHATTISGARH,JANJGIR-CHAMPA
CHHATTISGARH,KABIRDHAM,CHHATTISGARH,KABEERDHAM
CHHATTISGARH,KOREA (KORIYA),CHHATTISGARH,KORIYA
DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,DADARA & NAGAR HAVELLI,DADRA & NAGAR HAVELI
GUJARAT,BANASKANTHA,GUJARAT,BANAS KANTHA
GUJARAT,PANCHMAHAL,GUJARAT,PANCH MAHALS
GUJARAT,SABARKANTHA,GUJARAT,SABAR KANTHA
HIMACHAL PRADESH,LAHUL AND SPITI,HIMACHAL PRADESH,LAHUL & SPITI
JAMMU & KASHMIR,LEH,JAMMU & KASHMIR,LEH (LADAKH)
JHARKHAND,SARAIKELA KHARSAWAN,JHARKHAND,SARAIKELA-KHARSAWAN
KARNATAKA,CHAMARAJANAGAR,KARNATAKA,CHAMRAJNAGAR
MADHYA PRADESH,KHANDWA (EAST NIMAR),MADHYA PRADESH,EAST NIMAR
MADHYA PRADESH,KHARGONE (WEST NIMAR),MADHYA PRADESH,WEST NIMAR
MAHARASHTRA,GADCHIROLI,MAHARASHTRA,GARHCHIROLI
MANIPUR,SENAPATI (EXCLUDING 3 SUB-DIVISIONS),MANIPUR,SENAPATI
MEGHALAYA,RIBHOI,MEGHALAYA,RI BHOI
MIZORAM,LAWNGTLAI,MIZORAM,LAWANGTLAI
ODISHA,BAUDH,ODISHA,BAUDA
SIKKIM,EAST DISTRICT,SIKKIM,EAST
SIKKIM,NORTH DISTRICT,SIKKIM,NORTH
SIKKIM,SOUTH DISTRICT,SIKKIM,SOUTH
SIKKIM,WEST DISTRICT,SIKKIM,WEST
TAMIL NADU,NAGAPATTINAM,TAMIL NADU,NAGAPPATTINAM
TAMIL NADU,VIRUDHUNAGAR,TAMIL NADU,VIRUDUNAGAR
TELANGANA,ADILABAD,ANDHRA PRADESH,ADILABAD
TELANGANA,HYDERABAD,ANDHRA PRADESH,HYDERABAD
TELANGANA,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR
TELANGANA,KHAMMAM,ANDHRA PRADESH,KHAMMAM
TELANGANA,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR
TELANGANA,MEDAK,ANDHRA PRADESH,MEDAK
TELANGANA,NALGONDA,ANDHRA PRADESH,NALGONDA
TELANGANA,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD
TELANGANA,RANGAREDDY,ANDHRA PRADESH,RANGAREDDY
TELANGANA,WARANGAL,ANDHRA PRADESH,WARANGAL
UTTAR PRADESH,KANSHIRAM NAGAR,UTTAR PRADESH,KANSIRAM NAGAR
UTTAR PRADESH,MAHRAJGANJ,UTTAR PRADESH,MAHARAJGANJ
UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI)
WEST BENGAL,NORTH TWENTY FOUR PARGANAS,WEST BENGAL,NORTH 24 PARGANAS
WEST BENGAL,PASCHIM MEDINIPUR,WEST BENGAL,PASHCHIM MEDINIPUR
WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,WEST BENGAL,SOUTH 24 PARGANAS
